competition_id,competition_name
10351480,ITF Stellenbosch
10372922,ITF Bratislava
10372952,ITF Solarino
10378651,ITF Shrewsbury
10393832,South Africa T20 Challenge
10402187,ITF Shenzhen
10402825,ITF Toyota
10417398,ITF Helsinki
10429360,ITF Valencia
10430927,ITF Santiago
10472727,ITF Uruguay
10473729,ITF Cordenons
10473840,ITF Dominican Republic Futures
10473928,ITF Chile Futures
10479523,ITF Cairo
10479547,ITF Castellon
10479856,Super Smash T20
10479956,Austrian Bundesliga
10513388,ITF Ortisei
10514059,ITF Solapur
10522035,COSAFA U20 Cup
10526104,Mubadala World Tennis Championship
10529093,WBBL
10530954,ITF Dubai
10533800,Turkish Cup
10542849,ITF Navi Mumbai
10545985,Maltese Super Cup
10557073,Bangladesh Championship League
10568098,ITF Fort-De-France
10568373,Ranji Trophy
10579829,ITF Daytona Beach
10586027,Ford Trophy
10589865,ITF Petit Bourg
10602622,ITF Stuttgart
10603150,ITF Orlando
10618025,ITF Andrezieux-Boutheon
10618415,Super50
10618470,Arena Cup
10623016,ITF Wesley Chapel
10657430,ITF Grenoble
10658255,ITF Burnie
10659049,ITF Midland
10661709,ITF Glasgow
10679703,ITF Launceston
10693181,Pakistan Super League
10697913,Australian Open 2018
10698993,ITF Edgbaston
10699940,South African Premier Division
10727720,ITF Bergamo
10729842,ITF Nanjing
10729846,ITF Perth
10730780,ITF Altenkirchen
10764291,ITF Wirral
10764426,ITF Surprise
10799050,ITF Palmanova
10814230,ITF Rancho Santa Fe
10851890,ITF Gwalior
10852650,ITF Curitiba
10854877,Polish Cup
10883655,ITF Amiens
10885105,Landesliga
10885117,Hungarian NB III
10885662,ITF Mildura
10885966,ITF Yokohama
10886468,ITF Sao Paulo
10910464,ICC World Cricket League Matches
10932509,English Premier League
10935348,ITF Gonesse
10947844,Swiss 1 Liga Classic
10955523,ITF Le Havre
10957170,Vijay Hazare Trophy
10992446,Vietnamese U19
10992624,ITF Nishi-Tama
10993027,ITF Obidos
11043787,ITF Croissy - Beaubourg
11045255,ACC Emerging Teams Cup
11046501,ITF Campinas
11046517,ITF Kofu
11068551,Norwegian Eliteserien
11086347,English National League
11099934,ITF Kashiwa
11104078,ITF Jackson
11115762,ITF Irapuato
11118744,ITF Pelham
11144630,ITF Dothan
11218258,Icelandic Super Cup
11219438,ITF An-Ning
11254421,Regional Cup Mecklenburg-Vorprommern
11283885,Islamic Solidarity Games
11285983,ITF Changwon
11308139,ITF Luan
11312819,ITF Santarem
11319314,Friendly International
11324211,Slovenia Cup
11325278,ITF Montemor-O-Novo
11332099,ITF Figueira Da Foz
11334055,ITF Stare Splavy
11340004,Romanian Playoffs
11341052,ITF Manchester
11343534,ITF Guimaraes
11350954,ICC Women's World Cup
11353124,ITF Taipei
